job_id,company,title,location,tags,url,scraped_at,run_id
1129199,Trase Systems,Security Engineer Cloud Security,,"['Security', 'Cloud', 'Engineer']",https://remoteok.com/remote-jobs/remote-security-engineer-cloud-security-trase-systems-1129199,2025-12-25T19:08:12.015379+00:00,
1129196,Invisible Agency,Architecture & Construction Documentation Specialist Freelance AI Trainer Project,,"['Trainer', 'Support', 'Management']",https://remoteok.com/remote-jobs/remote-architecture-construction-documentation-specialist-freelance-ai-trainer-project-invisible-agency-1129196,2025-12-25T19:08:12.015379+00:00,
1129194,Sanctuary Computer,Senior Frontend Developer,Remote,"['Senior', 'Executive', 'Engineer', 'Developer', 'Front End']",https://remoteok.com/remote-jobs/remote-senior-frontend-developer-sanctuary-computer-1129194,2025-12-25T19:08:12.015379+00:00,
1129120,Prezly,Senior PHP Developer,Remote,"['Engineer', 'Technical', 'Backend', 'PHP']",https://remoteok.com/remote-jobs/remote-senior-php-developer-prezly-1129120,2025-12-25T19:08:12.015379+00:00,
1129191,BitMEX,Trading Technology Engineer,,"['Crypto', 'Cryptocurrency', 'Security', 'Engineer']",https://remoteok.com/remote-jobs/remote-trading-technology-engineer-bitmex-1129191,2025-12-25T19:08:12.015379+00:00,
1129187,ParcelHero,Software Engineer Rust Shopify,,"['Software', 'C#', 'F#', 'System', 'Technical', 'Testing', 'Growth', 'Code', 'Voice', 'API', 'Management', 'Junior', 'Engineer', 'Engineering', 'Shopify']",https://remoteok.com/remote-jobs/remote-software-engineer-rust-shopify-parcelhero-1129187,2025-12-25T19:08:12.015379+00:00,
1129186,CompassX Group,Full Stack Software Engineer,Remote  - CST Timezone,"['Software', 'Design', 'React', 'Front End', 'Full-Stack', 'Architect', 'Technical', 'Support', 'Growth', 'Code', 'Lead', 'Junior', 'Engineer', 'Backend']",https://remoteok.com/remote-jobs/remote-full-stack-software-engineer-compassx-group-1129186,2025-12-25T19:08:12.015379+00:00,
1129185,Goodnotes,Senior Backend Engineer,,"['Support', 'Quality Assurance', 'DevOps', 'Cloud', 'Senior', 'Engineer', 'Backend']",https://remoteok.com/remote-jobs/remote-senior-backend-engineer-goodnotes-1129185,2025-12-25T19:08:12.015379+00:00,
1129184,DeepIntent,Systems Infrastructure Engineer,"Banja Luka, Bosnia or Belgrade, Serbia","['System', 'Security', 'Technical', 'Support', 'Software', 'Cloud', 'Operational', 'Healthcare', 'Engineer', 'Linux']",https://remoteok.com/remote-jobs/remote-systems-infrastructure-engineer-deepintent-1129184,2025-12-25T19:08:12.015379+00:00,
1129183,WeightWatchers,Staff Cloud Database Engineer,,"['Financial', 'Finance', 'Cloud', 'Mobile', 'Analytics', 'Health', 'Engineer']",https://remoteok.com/remote-jobs/remote-staff-cloud-database-engineer-weightwatchers-1129183,2025-12-25T19:08:12.015379+00:00,
