run_id,scraped_at,total_jobs,new_jobs,existing_jobs
376ea354-4708-457b-9aa7-5669ebb16ff9,2026-02-21T06:40:44.628525+00:00,149,6,143
f55b7eb0-4492-4fa9-b0a7-3fd7159db21b,2026-02-21T18:34:02.316429+00:00,149,1,148
7bea7d65-9ffe-4713-8f0c-28b627a36d94,2026-02-22T06:46:05.969244+00:00,149,0,149
1bd59586-a709-4cd3-bc45-eb325fe3c3bb,2026-02-22T18:34:40.938348+00:00,241,1,240
a4e2822d-3ed0-4f47-a864-fa7c1346547d,2026-02-23T07:03:21.322550+00:00,149,1,148
9336a6c0-3f0c-4568-b980-351377715afa,2026-02-23T19:01:25.773236+00:00,149,4,145
50dcfa60-f100-4dcd-94e1-deaaa64d41d0,2026-02-24T06:59:33.242694+00:00,190,0,190
a26dde50-adbb-438e-8938-856a2332f098,2026-02-24T19:01:01.262731+00:00,190,1,189
277fc221-2ae2-4253-a5b0-b4bddc694132,2026-02-25T07:01:15.840767+00:00,190,0,190
8eb90d40-7368-4343-b657-5de483629ff2,2026-02-25T19:05:25.996782+00:00,144,3,141
c14f26a7-14b1-4c67-b5a6-5b4a047850fb,2026-02-26T06:59:15.730859+00:00,193,2,191
b288c44f-0697-42aa-b89b-6f2084577abe,2026-02-26T18:52:04.338879+00:00,146,4,142
acf2ed3e-821e-46de-a8d4-bcfc33ef142a,2026-02-27T06:53:04.100916+00:00,191,1,190
2c9471af-59bf-46a0-873d-1744465d2a21,2026-02-27T18:41:31.117890+00:00,144,3,141
3b7c3a0e-4aaf-41eb-84d7-da878a767ae5,2026-02-28T06:37:37.129977+00:00,144,2,142
d4d706fa-1834-4b4f-a167-69ab46bd2a91,2026-02-28T18:32:12.933699+00:00,144,3,141
d001540a-ae8c-406f-ab40-64f00ed75dac,2026-03-01T06:44:09.766291+00:00,144,2,142
883c5af0-4c7a-40b6-bd05-9fc2045ff424,2026-03-01T18:32:09.820308+00:00,191,0,191
aa991897-952b-468e-bdcd-c9186221149a,2026-03-01T19:07:35.116905+00:00,144,0,144
db51a143-d7f1-4895-a4ae-121eeb13b9b0,2026-03-01T19:16:01.848654+00:00,191,0,191
4a3460ae-ed83-4ff4-afce-c4476766627c,2026-03-02T06:56:50.915277+00:00,144,0,144
c6b3df3e-060e-4baf-a5b6-02e1485252bc,2026-03-02T18:45:24.805585+00:00,191,0,191
65440b3b-8be5-4cad-9681-1307c0ca836d,2026-03-03T06:51:13.432127+00:00,144,2,142
5a31a0d3-c767-46da-a629-f5c084ff9e40,2026-03-03T18:45:20.579794+00:00,144,7,137
7e706931-cad5-4cc5-8971-5fb5a874cb10,2026-03-04T06:44:52.819827+00:00,192,5,187
16fc34be-54fa-41a3-9948-9158583d3cf4,2026-03-04T18:50:47.887928+00:00,144,2,142
b007722a-36d8-4634-9471-da7815bf4d2c,2026-03-05T06:51:40.640215+00:00,144,1,143
8269c8e4-db4e-492d-9ec1-5d1863ad547d,2026-03-05T19:15:38.753230+00:00,144,2,142
a53b56c3-b7c6-4c62-96c8-c045410b0cbb,2026-03-06T06:46:43.844159+00:00,144,2,142
dd3ee27f-9164-47b2-b18e-1185d46903cc,2026-03-06T18:43:10.432027+00:00,144,3,141
651fc740-e1ab-477b-abd4-5354033ade56,2026-03-07T06:39:25.015218+00:00,144,4,140
a245d956-fe28-45cd-8a01-9eef9d160480,2026-03-07T18:32:32.937617+00:00,191,1,190
d8c97bb6-6173-4e53-a284-584de13bba0d,2026-03-08T06:41:19.117531+00:00,192,2,190
5cdbc4e0-79b4-4cb8-8bb4-45fcad65e33a,2026-03-08T18:33:12.669186+00:00,192,0,192
acc69a34-b4e6-4880-b72f-ffc12fe79c5b,2026-03-09T07:00:48.688815+00:00,192,1,191
eb8b9541-72a6-44b6-9a07-7f9f7c57399b,2026-03-09T18:52:23.490713+00:00,145,6,139
35591c1e-a734-473a-9666-1df9c95a86fa,2026-03-10T06:48:34.008981+00:00,145,4,141
6c37ef13-3ff3-4b98-a515-6e157fad53fc,2026-03-10T18:45:24.372102+00:00,145,4,141
e5d7d9dd-51de-47f6-a7c8-de1fea3f8148,2026-03-11T06:52:46.255579+00:00,145,3,142
4233f560-f7e9-4aaf-8d78-a6995e391191,2026-03-11T18:52:54.776991+00:00,145,1,144
2c70cd52-4982-47ef-8c8c-da02e09b9289,2026-03-12T06:54:30.675207+00:00,194,3,191
cd35fd89-d1f5-499c-bae5-67c05912e555,2026-03-12T18:53:15.110274+00:00,145,6,139
3d04c081-b1ad-4b74-b4b2-c0269788e41a,2026-03-13T06:52:50.162744+00:00,145,3,142
a26a00c5-9f20-4f9f-a154-c1bc2ffaecc4,2026-03-13T18:41:31.942986+00:00,145,4,141
4fd3a9ec-cc77-4a7a-9e79-592854faeb00,2026-03-14T06:43:51.922907+00:00,146,7,139
ee7bd4cd-e790-41a9-bbd6-a1136cdfb5f8,2026-03-14T18:37:25.411833+00:00,194,2,192
c3394bb1-2366-470b-8bdc-ba4ce77cc597,2026-03-15T06:55:54.098536+00:00,144,2,142
c1e7db75-0696-42c1-af2d-83c99472d755,2026-03-15T18:38:01.091262+00:00,144,2,142
6851ceb7-e0b5-4762-a872-0d1ba583716b,2026-03-16T07:15:50.556604+00:00,194,0,194
ec31b508-e954-4a81-8111-6eb54278bc00,2026-03-16T19:00:01.540135+00:00,145,8,137
5da9b6bb-6538-4e0c-9b08-0b5106049df5,2026-03-17T07:03:00.970966+00:00,142,2,140
63742048-41db-4458-b23a-fb02d420146c,2026-03-17T19:00:20.043253+00:00,142,0,142
cc8699bf-5795-491e-8d87-bbef511663d5,2026-03-18T07:01:14.911211+00:00,142,2,140
9c2abd10-62cf-4a2f-95bd-37e156ba678b,2026-03-18T18:58:12.797334+00:00,142,3,139
